CIDADE(Nome/SIAFI);IBGE
PREFEITURA DA SERRA;3205002
PREFEITURA MUNICIPAL DA SERRA;3205002
PREFEITURA DO MUNICIPIO DE ITAPEVI;3522505
PREFEITURA MUNICIPAL DE CARIACICA;3201308
CARIACICA;3201308
PREFEITURA MUNICIPAL DE ANCHIETA;3200409
PREFEITURA DO MUNICIPIO DE ARUJÁ - SP;3503901
Lavras;3138203
Contagem/MG;310620
CONTAGEM;3118601
IPATINGA;3131307
BARÃO DE COCAIS;310540
NOVA ERA;314470
PARAUAPEBAS;1505536
Parauapebas/PA;1505536
VITÓRIA;3205309
MARIANA;3140001
RIO DE JANEIRO;3304557
NOVA LIMA;3144805
CANAÃ DOS CARAJÁS;1502152
SAO CAETANO DO SUL;3548807
SÃO PAULO;3550308
MARABÁ;1504208
SAO LUIS;2111300
ACAILANDIA;2100055
CANAA DOS CARAJAS;1502152
SERRA;3205002
Vila Velha;3205200
Vitoria;3205309
BARBACENA - MG;3105608
BURITICUPU;2102325
SÃO PEDRO DA ÁGUA BRANCA;2111532
SANTA INÊS;2109908
921;2111300
Votorantim;3557006
LAURO DE FREITAS (BA);2919207
LAURO DE FREITAS;2919207
BELEM;1501402
OURILANDIA DO NORTE;1505437
SAO FELIX DO XINGU;1507300
ATIBAIA;3504107
PREFEITURA DA ESTANCIA DE ATIBAIA;3504107
ALTO ALEGRE DO PINDARE;2100477
VIANA;3205101
Taboão da Serra;3552809
Poços de Caldas;3151800
Bauru;3506003
TRES RIOS;3306008
campo grande;5002704
Valinhos;3556206
Bragança Paulista;3507605
Prefeitura do Municipio de Cajamar;3509205
CAJAMAR;3509205
PREFEITURA DE MOGI DAS CRUZES;3530607
VARGINHA;3170701
Santa Barbara D'Oeste;3545803
Ibirité;3129806
Fortaleza;2304400
Itabirito;3131901
