COD_MUNICIPIO_IBGE;COD_MUNICIPAL;COD_FEDERAL
2304400;16.01;16.01
2304400;16.02;16.01
2304400;16.03;16.02
3131901;3.01;3.02
3131901;3.02;3.03
3131901;3.03;3.04
3131901;3.04;3.05
3131901;7.14;7.16
3131901;7.15;7.17
3131901;7.17;7.19
3131901;7.18;7.20
3131901;7.19;7.21
3131901;7.20;7.22
3131901;13.01;13.02
3131901;13.02;13.03
3131901;13.03;13.04
3131901;13.04;13.05
3171303;3.01;3.02
3171303;3.02;3.03
3171303;3.03;3.04
3171303;3.04;3.05
3171303;7.14;7.16
3171303;7.15;7.17
3171303;7.16;7.18
3171303;7.17;7.19
3171303;7.18;7.20
3171303;7.19;7.21
3171303;7.20;7.22
3550308;2658;101
3550308;2666;102
3550308;2682;103
3550308;2690;104
3550308;2798;105
3550308;2879;106
3550308;2917;107
3550308;2933;108
3550308;3085;201
3550308;7765;302
3550308;7773;303
3550308;7774;303
3550308;7790;304
3550308;7803;305
3550308;4030;401
3550308;4111;401
3550308;4139;402
3550308;4140;402
3550308;4154;402
3550308;5576;402
3550308;4170;403
3550308;4189;403
3550308;4197;403
3550308;4219;403
3550308;4235;403
3550308;4251;404
3550308;4260;405
3550308;4316;406
3550308;4359;406
3550308;4383;407
3550308;4391;408
3550308;4430;408
3550308;4472;408
3550308;4502;408
3550308;4510;408
3550308;4553;408
3550308;4588;409
3550308;4626;410
3550308;4634;411
3550308;4677;411
3550308;4693;412
3550308;4731;412
3550308;4774;413
3550308;4901;413
3550308;5037;414
3550308;5096;414
3550308;5100;415
3550308;5118;416
3550308;5142;416
3550308;5150;417
3550308;5177;417
3550308;5185;417
3550308;5584;417
3550308;5193;418
3550308;5223;419
3550308;5231;420
3550308;5266;421
3550308;5274;422
3550308;5312;423
3550308;5380;501
3550308;5410;501
3550308;5428;502
3550308;5436;503
3550308;5460;504
3550308;5479;505
3550308;5495;506
3550308;5517;507
3550308;8648;508
3550308;5533;509
3550308;8494;601
3550308;8516;602
3550308;8532;603
3550308;5657;604
3550308;8567;605
3550308;1210;701
3550308;1520;701
3550308;1546;701
3550308;1589;701
3550308;1627;701
3550308;1015;702
3550308;1023;702
3550308;1024;702
3550308;1694;703
3550308;1031;704
3550308;1032;704
3550308;1058;705
3550308;1059;705
3550308;1228;706
3550308;1236;707
3550308;1244;708
3550308;1325;709
3550308;1384;710
3550308;1406;710
3550308;1430;711
3550308;1449;711
3550308;1724;712
3550308;1465;713
3550308;1740;716
3550308;1090;717
3550308;1473;718
3550308;1805;719
3550308;1821;720
3550308;1864;721
3550308;1872;722
3550308;5673;801
3550308;5690;801
3550308;5711;801
3550308;5738;802
3550308;5762;802
3550308;7005;901
3550308;7013;901
3550308;7056;901
3550308;7099;901
3550308;7129;902
3550308;7137;903
3550308;6050;1001
3550308;6076;1001
3550308;6084;1001
3550308;6092;1001
3550308;6114;1001
3550308;6130;1001
3550308;6157;1002
3550308;6173;1003
3550308;6190;1004
3550308;6220;1004
3550308;6238;1004
3550308;6270;1005
3550308;6297;1005
3550308;6298;1005
3550308;6335;1006
3550308;6351;1007
3550308;6394;1008
3550308;6009;1009
3550308;6041;1010
3550308;7811;1101
3550308;7838;1101
3550308;7846;1101
3550308;7854;1101
3550308;7870;1102
3550308;7897;1103
3550308;7927;1104
3550308;8052;1201
3550308;8079;1202
3550308;8087;1203
3550308;8095;1204
3550308;8117;1205
3550308;8257;1205
3550308;8125;1206
3550308;8133;1207
3550308;8168;1207
3550308;8176;1208
3550308;8311;1209
3550308;8320;1209
3550308;8338;1209
3550308;8354;1209
3550308;8362;1209
3550308;8370;1209
3550308;8397;1209
3550308;8192;1210
3550308;8206;1211
3550308;8281;1211
3550308;8290;1211
3550308;8400;1212
3550308;6777;1213
3550308;8419;1214
3550308;8214;1215
3550308;8230;1216
3550308;7218;1217
3550308;6793;1302
3550308;6807;1303
3550308;6815;1304
3550308;6912;1305
3550308;6939;1305
3550308;7331;1401
3550308;7366;1401
3550308;7390;1401
3550308;7412;1401
3550308;7439;1401
3550308;7447;1401
3550308;7455;1401
3550308;7471;1401
3550308;7498;1401
3550308;7510;1401
3550308;1880;1402
3550308;7552;1403
3550308;7560;1404
3550308;7579;1405
3550308;7285;1406
3550308;7315;1406
3550308;6831;1407
3550308;6858;1408
3550308;7595;1409
3550308;7617;1410
3550308;7641;1411
3550308;7676;1412
3550308;1104;1413
3550308;5771;1501
3550308;5800;1501
3550308;5820;1501
3550308;5836;1501
3550308;5837;1501
3550308;5878;1502
3550308;5870;1503
3550308;5871;1504
3550308;5872;1505
3550308;5873;1506
3550308;5874;1507
3550308;5875;1508
3550308;5851;1509
3550308;5876;1510
3550308;5877;1510
3550308;5895;1510
3550308;5879;1511
3550308;5888;1512
3550308;5889;1512
3550308;5881;1513
3550308;5887;1514
3550308;5890;1515
3550308;5891;1515
3550308;5892;1516
3550308;5893;1516
3550308;5885;1517
3550308;5886;1518
3550308;2321;1601
3550308;2330;1601
3550308;2364;1601
3550308;2402;1601
3550308;2429;1601
3550308;2445;1601
3550308;3093;1701
3550308;3115;1701
3550308;3123;1702
3550308;3158;1702
3550308;3159;1702
3550308;1899;1703
3550308;6475;1704
3550308;6491;1705
3550308;2496;1706
3550308;6521;1708
3550308;1902;1709
3550308;1903;1709
3550308;7161;1710
3550308;7196;1711
3550308;3204;1712
3550308;3205;1712
3550308;3212;1712
3550308;5894;1712
3550308;6530;1713
3550308;3220;1714
3550308;3379;1714
3550308;3387;1715
3550308;3395;1716
3550308;3433;1716
3550308;2038;1717
3550308;3450;1718
3550308;3476;1719
3550308;3620;1719
3550308;3654;1720
3550308;3700;1720
3550308;3719;1721
3550308;6564;1722
3550308;3743;1723
3550308;3751;1724
3550308;5916;1801
3550308;8478;1901
3550308;8486;1901
3550308;7951;2001
3550308;7960;2002
3550308;7978;2003
3550308;1481;2201
3550308;2054;2301
3550308;2500;2301
3550308;6963;2401
3550308;6572;2501
3550308;6599;2502
3550308;6602;2503
3550308;6610;2504
3550308;2453;2601
3550308;2461;2601
3550308;2097;2701
3550308;2119;2801
3550308;3956;2901
3550308;2143;3001
3550308;2151;3101
3550308;2186;3201
3550308;8672;3401
3550308;2534;3501
3550308;2216;3601
3550308;8842;3701
3550308;2224;3801
3550308;8885;3901
3550308;8893;4001
3550308;6637;
3550308;8273;
3550308;8274;
3205002;3.01;3.02
3205002;3.02;3.03
3205002;3.03;3.04
3205002;3.04;3.05
3205002;7.14;7.16
3205002;7.15;7.17
3205002;7.16;7.18
3205002;7.17;7.19
3205002;7.18;7.20
3205002;7.19;7.21
3205002;7.20;7.22
3205002;13.01;13.02
3205002;13.02;13.03
3205002;13.03;13.04
3205002;13.04;13.05
3205002;17.07;17.08
3205002;17.08;17.09
3205002;17.09;17.10
3205002;17.10;17.11
3205002;17.11;17.12
3205002;17.12;17.13
3205002;17.13;17.14
3205002;17.14;17.15
3205002;17.15;17.16
3205002;17.16;17.17
3205002;17.17;17.18
3205002;17.18;17.19
3205002;17.19;17.20
3205002;17.20;17.21
3205002;17.21;17.22
3205002;17.22;17.23
3205002;17.23;17.24
3205200;3.01;3.02
3205200;3.02;3.03
3205200;3.03;3.04
3205200;3.04;3.05
3205200;7.14;7.16
3205200;7.15;7.17
3205200;7.16;7.18
3205200;7.17;7.19
3205200;7.18;7.20
3205200;7.19;7.21
3205200;7.20;7.22
3205200;13.01;13.02
3205200;13.02;13.03
3205200;13.03;13.04
3205200;13.04;13.05
3205200;17.07;17.08
3205200;17.08;17.09
3205200;17.09;17.10
3205200;17.10;17.11
3205200;17.11;17.12
3205200;17.12;17.13
3205200;17.13;17.14
3205200;17.14;17.15
3205200;17.15;17.16
3205200;17.16;17.17
3205200;17.17;17.18
3205200;17.18;17.19
3205200;17.19;17.20
3205200;17.20;17.21
3205200;17.21;17.22
3205200;17.22;17.23
3205200;17.23;17.24
3518800;3.01;3.02
3518800;3.02;3.03
3518800;3.03;3.04
3518800;3.04;3.05
3518800;7.14;7.16
3518800;7.15;7.17
3518800;7.16;7.18
3518800;7.17;7.19
3518800;7.18;7.20
3518800;7.19;7.21
3518800;7.20;7.22
3518800;13.01;13.02
3518800;13.02;13.03
3518800;13.03;13.04
3518800;13.04;13.05
3518800;15.01.01;15.01
3518800;15.01.02;15.01
3518800;15.01.03;15.01
3518800;16.01.01;16.01
3518800;16.01.02;16.01
3518800;16.01.03;16.01
3518800;16.01.04;16.01
3518800;16.01.05;16.01
3518800;17.02.01;17.01
3518800;17.02.02;17.01
3518800;17.02.03;17.01
3518800;17.02.04;17.01
3518800;17.07;17.08
3518800;17.08;17.09
3518800;17.09;17.10
3518800;17.10;17.11
3518800;17.11;17.12
3518800;17.12;17.13
3518800;17.13;17.14
3518800;17.14;17.15
3518800;17.15;17.16
3518800;17.16;17.17
3518800;17.17;17.18
3518800;17.18;17.19
3518800;17.19;17.20
3518800;17.20;17.21
3518800;17.21;17.22
3518800;17.22;17.23
3518800;17.23;17.24
3556206;17.08;17.09
3557006;3.01;3.02
3557006;3.02;3.03
